Average_Temperature_C,Total_Precipitation_mm,Soil_Health_Index,Crop_Type,Adaptation_Strategies,Crop_Yield_MT_per_HA,Economic_Impact_Million_USD
0.2065,0.4988,0.0033,Vegetables,Drought-resistant Crops,0.4055,0.3605
0.968,0.4047,0.3941,Wheat,Crop Rotation,0.1646,0.0747
0.8386,0.9344,0.5473,Corn,Drought-resistant Crops,0.077,0.1263
0.2357,0.0028,0.1491,Rice,Drought-resistant Crops,0.4094,0.3923
0.9565,0.4548,0.7344,Sugarcane,Crop Rotation,0.2997,0.1585
0.722,0.6964,0.2215,Rice,Organic Farming,0.2655,0.2239
0.8283,0.1845,0.2341,Fruits,Water Management,0.732,0.7984
0.6932,0.2964,0.0607,Corn,Crop Rotation,0.5992,0.2293
0.021,0.7796,0.0306,Sugarcane,Water Management,0.2704,0.065
0.8711,0.8769,0.0484,Cotton,Organic Farming,0.3972,0.2487
0.3038,0.6944,0.6641,Barley,Drought-resistant Crops,0.4884,0.4876
0.3351,0.9462,0.8158,Rice,Crop Rotation,0.2299,0.28
0.9434,0.0038,0.4022,Rice,Crop Rotation,0.1804,0.1636
0.7565,0.5705,0.7419,Barley,Water Management,0.5391,0.1673
0.9555,0.4672,0.4801,Rice,Drought-resistant Crops,0.1849,0.0297
0.1206,0.7968,0.2039,Barley,No Adaptation,0.15,0.1262
0.1589,0.8441,0.3958,Soybeans,Water Management,0.4033,0.1308
0.4865,0.3339,0.4885,Barley,Drought-resistant Crops,0.3988,0.0838
0.4585,0.0317,0.9082,Rice,Drought-resistant Crops,0.2108,0.0534
0.3984,0.443,0.702,Corn,No Adaptation,0.3324,0.0682
0.1752,0.5192,0.9567,Soybeans,Crop Rotation,0.2322,0.2296
0.1717,0.718,0.5786,Fruits,Crop Rotation,0.1723,0.239
0.8664,0.4664,0.5581,Sugarcane,Crop Rotation,0.4661,0.2435
0.763,0.6046,0.5079,Coffee,Crop Rotation,0.4821,0.3221
0.4497,0.5189,0.2435,Vegetables,Drought-resistant Crops,0.4573,0.3509
0.6924,0.4589,0.4871,Soybeans,Water Management,0.6141,0.2865
0.0683,0.4661,0.4155,Cotton,No Adaptation,0.0284,0.0744
0.5786,0.1,0.7489,Wheat,Water Management,0.4398,0.2269
0.9357,0.4888,0.9508,Sugarcane,Water Management,0.4393,0.4877
0.1106,0.2538,0.3727,Barley,Organic Farming,0.2553,0.0883
0.8931,0.0753,0.0958,Barley,Water Management,0.6363,0.5166
0.3253,0.7863,0.74,Rice,No Adaptation,0.383,0.1901
0.1584,0.7742,0.3344,Sugarcane,Water Management,0.4296,0.2534
0.479,0.9925,0.597,Rice,Crop Rotation,0.6181,0.4339
0.4452,0.6812,0.5231,Barley,Water Management,0.6424,0.1472
0.9014,0.8009,0.4905,Corn,Drought-resistant Crops,0.4621,0.1783
0.7905,0.4536,0.9684,Barley,Crop Rotation,0.3749,0.1527
0.0968,0.5338,0.3359,Vegetables,Organic Farming,0.025,0.0106
0.4937,0.2527,0.1877,Fruits,No Adaptation,0.456,0.3895
0.8021,0.4205,0.3214,Soybeans,Drought-resistant Crops,0.4281,0.2705
0.4392,0.8669,0.8836,Coffee,Organic Farming,0.8349,0.3838
0.9657,0.0542,0.4894,Rice,Drought-resistant Crops,0.5087,0.1389
0.3599,0.0065,0.0537,Rice,Crop Rotation,0.1946,0.1639
0.1959,0.7556,0.9702,Corn,Organic Farming,0.0142,0.0819
0.5941,0.378,0.0824,Sugarcane,Water Management,0.9257,1.0
0.5383,0.8103,0.125,Corn,Crop Rotation,0.3161,0.157
0.6154,0.8192,0.6089,Rice,No Adaptation,0.6577,0.6415
0.0673,0.3873,0.7189,Soybeans,Drought-resistant Crops,0.4934,0.1346
0.3243,0.037,0.7923,Wheat,Organic Farming,0.383,0.4504
0.0926,0.5442,0.2418,Wheat,Water Management,0.1419,0.0846
0.4757,0.759,0.7333,Rice,Organic Farming,0.8604,0.8178
0.8368,0.2891,0.4793,Vegetables,Crop Rotation,0.4956,0.3985
0.7993,0.5287,0.895,Cotton,Water Management,0.4934,0.2689
0.9064,0.5873,0.5395,Coffee,No Adaptation,0.5204,0.1001
0.8789,0.6966,0.0079,Coffee,Crop Rotation,0.1763,0.084
0.5103,0.8931,0.4809,Cotton,No Adaptation,0.5431,0.149
0.7955,0.851,0.8656,Sugarcane,Organic Farming,0.5857,0.2647
0.9224,0.6011,0.9765,Rice,Drought-resistant Crops,0.2502,0.1918
0.1434,0.6558,0.4554,Rice,Drought-resistant Crops,0.1236,0.1054
0.799,0.8456,0.4176,Sugarcane,Crop Rotation,0.5609,0.4127
0.0556,0.1718,0.5004,Fruits,No Adaptation,0.1106,0.0467
0.4369,0.3556,0.0578,Barley,Crop Rotation,0.2695,0.1461
0.9652,0.3108,0.4502,Corn,Crop Rotation,0.7456,0.5476
0.9434,0.6221,0.8095,Fruits,Crop Rotation,0.1682,0.0583
0.1081,0.7782,0.9034,Barley,No Adaptation,0.3972,0.1243
0.5651,0.8682,0.6123,Vegetables,Drought-resistant Crops,0.741,0.2122
0.0105,0.9679,0.1093,Barley,Water Management,0.2254,0.1454
0.0871,0.8033,0.1775,Corn,Crop Rotation,0.5587,0.443
0.7442,0.9223,0.9999,Sugarcane,Organic Farming,0.2051,0.2494
0.2217,0.626,0.2113,Corn,Drought-resistant Crops,0.2209,0.0891
0.243,0.6757,0.9651,Barley,Drought-resistant Crops,0.2128,0.2452
0.9615,0.8866,0.7864,Sugarcane,No Adaptation,0.6951,0.6524
0.9247,0.2127,0.3697,Wheat,Drought-resistant Crops,0.1216,0.0821
0.29,0.2717,0.4617,Wheat,Organic Farming,0.0892,0.084
0.3293,0.856,0.6848,Cotton,Water Management,0.1115,0.155
0.755,0.1745,0.8232,Wheat,No Adaptation,0.6039,0.3091
0.297,0.0403,0.5895,Fruits,Organic Farming,0.4317,0.1955
0.4732,0.6006,0.5327,Rice,Organic Farming,0.5208,0.4394
0.7863,0.7063,0.6597,Rice,Water Management,0.1804,0.1108
0.1106,0.2791,0.4409,Coffee,Crop Rotation,0.2027,0.1907
0.8113,0.234,0.0212,Cotton,Drought-resistant Crops,0.4798,0.5157
0.2175,0.5295,0.8597,Coffee,Drought-resistant Crops,0.3155,0.3822
0.9805,0.8156,0.6934,Coffee,No Adaptation,0.3943,0.4327
0.7327,0.0041,0.3376,Soybeans,No Adaptation,0.4276,0.2605
0.0298,0.081,0.0699,Sugarcane,Drought-resistant Crops,0.0486,0.0604
0.7968,0.5652,0.0479,Fruits,Water Management,0.3087,0.3603
0.1381,0.3015,0.6088,Coffee,Organic Farming,0.2513,0.2914
0.9277,0.7731,0.7082,Coffee,Drought-resistant Crops,0.6424,0.2262
0.1667,0.5429,0.7808,Soybeans,Drought-resistant Crops,0.5271,0.4516
0.7918,0.2496,0.5848,Barley,Crop Rotation,0.5492,0.4162
0.1289,0.1795,0.403,Fruits,Drought-resistant Crops,0.0,0.0272
0.017,0.7178,0.0577,Sugarcane,No Adaptation,0.4884,0.2886
0.3634,0.5846,0.4646,Coffee,No Adaptation,0.5677,0.371
0.6639,0.9193,0.201,Sugarcane,Water Management,0.4573,0.2964
0.8504,0.4946,0.9519,Fruits,Water Management,0.3648,0.1264
0.211,0.149,0.9595,Cotton,Drought-resistant Crops,0.3688,0.1099
0.7648,0.1124,0.0773,Wheat,Organic Farming,0.4742,0.2515
0.0513,0.5932,0.0836,Barley,Water Management,0.2493,0.1802
0.8764,0.6794,0.7178,Corn,Water Management,0.7073,0.4568
0.0753,0.9211,0.9894,Sugarcane,Drought-resistant Crops,0.15,0.1722
0.6391,0.4718,0.3462,Barley,Crop Rotation,0.5834,0.4189
0.5981,0.1931,0.4716,Vegetables,Crop Rotation,0.454,0.1728
0.4825,0.2861,0.4108,Corn,Organic Farming,0.2168,0.178
0.3531,0.6209,0.8868,Barley,Organic Farming,0.3465,0.2311
0.0756,0.4416,0.636,Corn,Water Management,0.5006,0.457
0.8438,0.2307,0.8237,Corn,Organic Farming,0.4033,0.4294
0.2553,0.5159,0.0456,Coffee,Crop Rotation,0.4236,0.1594
0.493,0.954,0.6779,Vegetables,No Adaptation,0.4911,0.2842
0.8969,0.5447,0.0043,Sugarcane,Drought-resistant Crops,0.1986,0.2535
0.3243,0.1651,0.976,Soybeans,Drought-resistant Crops,0.2918,0.0497
0.9635,0.3021,0.138,Wheat,Drought-resistant Crops,0.6242,0.3927
0.3524,0.6265,0.4303,Rice,No Adaptation,0.3605,0.1142
0.8021,0.9509,0.0014,Vegetables,Water Management,0.4281,0.3224
0.1914,0.1034,0.7479,Coffee,Water Management,0.3546,0.3507
0.4212,0.2507,0.9232,Wheat,No Adaptation,0.2716,0.2792
0.8413,0.2871,0.6838,Wheat,Drought-resistant Crops,0.383,0.1764
0.6804,0.9183,0.9552,Sugarcane,Drought-resistant Crops,0.4925,0.5048
0.2885,0.4472,0.0852,Coffee,Crop Rotation,0.4055,0.4264
0.3086,0.1555,0.3113,Coffee,Organic Farming,0.1894,0.1088
0.2045,0.1075,0.7484,Fruits,Organic Farming,0.3402,0.3873
0.5518,0.7875,0.4925,Vegetables,Organic Farming,0.7316,0.8086
0.5465,0.2317,0.6382,Coffee,Crop Rotation,0.5695,0.356
0.3649,0.9027,0.3475,Sugarcane,Drought-resistant Crops,0.3628,0.1392
0.9084,0.5243,0.8627,Cotton,No Adaptation,0.4195,0.4371
0.1969,0.3563,0.8666,Vegetables,No Adaptation,0.4236,0.2579
0.2503,0.9167,0.2225,Coffee,Organic Farming,0.2635,0.1034
0.3886,0.1023,0.9422,Barley,Crop Rotation,0.683,0.3292
0.9199,0.837,0.5848,Wheat,Crop Rotation,0.1016,0.0244
0.7505,0.7822,0.2119,Rice,Water Management,0.347,0.1895
0.3018,0.3712,0.3139,Wheat,Organic Farming,0.5026,0.3811
0.2878,0.6903,0.0753,Wheat,No Adaptation,0.4438,0.1416
0.3201,0.705,0.3565,Vegetables,Water Management,0.3891,0.129
0.2157,0.9538,0.2463,Fruits,Crop Rotation,0.0223,0.0652
0.724,0.4452,0.2595,Vegetables,Water Management,0.1986,0.1194
0.7543,0.8454,0.7399,Wheat,No Adaptation,0.1175,0.062
0.0551,0.2622,0.6121,Vegetables,Crop Rotation,0.3871,0.4494
0.6451,0.1647,0.0607,Cotton,Drought-resistant Crops,0.4418,0.3023
0.9254,0.3006,0.2164,Wheat,No Adaptation,0.0948,0.1524
0.9169,0.6588,0.2079,Corn,Water Management,0.5147,0.189
0.98,0.7404,0.3571,Corn,Water Management,0.3871,0.1112
0.2285,0.8147,0.9676,Cotton,Organic Farming,0.329,0.3834
0.8589,0.5021,0.1324,Fruits,Crop Rotation,0.4479,0.3317
0.291,0.9043,0.2284,Cotton,No Adaptation,0.2249,0.0633
0.3393,0.084,0.677,Coffee,Crop Rotation,0.4965,0.462
0.3811,0.7635,0.8014,Vegetables,Water Management,0.6893,0.5154
0.1144,0.056,0.1063,Fruits,No Adaptation,0.4256,0.1856
0.8473,0.5576,0.092,Coffee,Crop Rotation,0.5127,0.3747
0.2032,0.5143,0.1831,Sugarcane,Drought-resistant Crops,0.4154,0.3256
0.4187,0.759,0.3522,Cotton,Crop Rotation,0.7032,0.6428
0.4347,0.2926,0.5268,Fruits,No Adaptation,0.2918,0.3305
0.6361,0.7975,0.5,Rice,Organic Farming,0.5339,0.2077
0.21,0.1469,0.2451,Barley,Organic Farming,0.4154,0.477
0.8073,0.4713,0.1268,Cotton,No Adaptation,0.669,0.2609
0.5495,0.4116,0.8624,Barley,Water Management,0.4686,0.178
0.0035,0.9576,0.234,Vegetables,Drought-resistant Crops,0.329,0.2447
0.1799,0.087,0.6704,Soybeans,Water Management,0.4175,0.3619
0.9194,0.7759,0.4442,Rice,Organic Farming,0.2502,0.1415
0.9525,0.6187,0.843,Rice,Water Management,0.3567,0.1797
0.6784,0.3979,0.2099,Fruits,Crop Rotation,0.458,0.1964
0.0918,0.0693,0.8098,Corn,No Adaptation,0.0446,0.0902
0.9054,0.5582,0.5821,Barley,Water Management,0.3648,0.1184
0.1366,0.7846,0.4039,Corn,Drought-resistant Crops,0.1885,0.1498
0.5588,0.0157,0.0073,Fruits,Water Management,0.2736,0.1601
0.8961,0.3917,0.4803,Wheat,Organic Farming,0.0871,0.0696
0.773,0.5213,0.657,Soybeans,Crop Rotation,0.687,0.2484
0.6156,0.1322,0.5024,Cotton,Drought-resistant Crops,0.6303,0.656
0.5711,0.4213,0.7518,Soybeans,No Adaptation,0.5391,0.3611
0.1892,0.0277,0.643,Cotton,Drought-resistant Crops,0.4965,0.1749
0.799,0.5066,0.8145,Corn,No Adaptation,0.4416,0.0813
0.7467,0.9078,0.6476,Fruits,Drought-resistant Crops,0.1439,0.1811
0.9937,0.9215,0.0869,Cotton,Organic Farming,0.15,0.142
0.6887,0.4985,0.5235,Wheat,Water Management,0.3065,0.3791
0.3193,0.337,0.9145,Sugarcane,Organic Farming,0.0365,0.0916
0.6484,0.9399,0.5115,Corn,Organic Farming,0.1533,0.2268
0.7775,0.6382,0.3803,Vegetables,No Adaptation,0.687,0.364
0.1241,0.3487,0.8057,Rice,Organic Farming,0.3243,0.1066
0.5936,0.0003,0.5139,Sugarcane,No Adaptation,0.4499,0.1097
0.8641,0.8091,0.8713,Corn,Water Management,0.5587,0.5585
0.7077,0.4267,0.5331,Wheat,Drought-resistant Crops,0.356,0.062
0.9227,0.8029,0.0166,Corn,Organic Farming,0.5114,0.2331
0.5798,0.0437,0.3079,Corn,Water Management,0.61,0.1348
0.4542,0.3145,0.3247,Rice,Crop Rotation,0.2412,0.1524
0.5468,0.1771,0.6614,Soybeans,Organic Farming,0.365,0.1999
0.4447,0.1173,0.8176,Cotton,Drought-resistant Crops,0.9279,0.304
0.003,0.1012,0.5165,Sugarcane,Drought-resistant Crops,0.0892,0.068
0.8534,0.1434,0.2006,Cotton,Water Management,0.61,0.489
0.5831,0.5177,0.2037,Fruits,Organic Farming,0.5776,0.2408
0.9494,0.1455,0.7132,Corn,Crop Rotation,0.5587,0.1777
0.9227,0.9896,0.2561,Coffee,Crop Rotation,0.5609,0.4784
0.9379,0.5845,0.4822,Soybeans,Organic Farming,0.4911,0.2621
0.758,0.9554,0.1393,Coffee,Drought-resistant Crops,0.5958,0.4949
0.9492,0.8534,0.3245,Fruits,No Adaptation,0.2704,0.3159
0.6486,0.7289,0.0758,Fruits,Organic Farming,0.3101,0.238
0.4309,0.7828,0.7514,Vegetables,Drought-resistant Crops,0.419,0.455
0.3571,0.0798,0.2439,Sugarcane,No Adaptation,0.2675,0.2722
0.1529,0.8922,0.9263,Sugarcane,Organic Farming,0.2794,0.2771
0.0808,0.8003,0.9222,Sugarcane,Water Management,0.2186,0.2693
0.1366,0.6192,0.3999,Vegetables,No Adaptation,0.4195,0.3238
0.1206,0.7244,0.3765,Sugarcane,No Adaptation,0.2108,0.0364
0.7828,0.6416,0.1709,Corn,Water Management,0.6424,0.4879
0.6089,0.4114,0.7677,Fruits,Drought-resistant Crops,0.5992,0.6418
0.0095,0.3551,0.1994,Wheat,No Adaptation,0.454,0.5267
0.3714,0.1843,0.6617,Corn,Water Management,0.3486,0.1522
0.0273,0.1591,0.8958,Corn,Crop Rotation,0.1826,0.1113
0.2998,0.206,0.5502,Wheat,Drought-resistant Crops,0.0507,0.0794
0.4037,0.1601,0.8304,Barley,Water Management,0.4483,0.1411
0.8841,0.0232,0.558,Coffee,Crop Rotation,0.6931,0.1621
0.3046,0.5797,0.4631,Barley,Drought-resistant Crops,0.0543,0.0187
0.5788,0.7404,0.4515,Cotton,Water Management,0.5938,0.3887
0.8599,0.6113,0.3062,Wheat,Organic Farming,0.2412,0.1136
0.255,0.1266,0.9072,Barley,Water Management,0.227,0.1252
0.3674,0.383,0.872,Sugarcane,Drought-resistant Crops,0.0912,0.0781
0.3246,0.7121,0.76,Wheat,Crop Rotation,0.0527,0.0288
0.3886,0.9159,0.1611,Wheat,No Adaptation,0.9797,0.2964
0.8158,0.1191,0.1581,Sugarcane,Water Management,0.7501,0.472
0.75,0.6986,0.1803,Wheat,Organic Farming,0.0709,0.0996
0.4955,0.4503,0.4812,Soybeans,No Adaptation,0.5411,0.1036
0.4049,0.8748,0.5567,Fruits,Water Management,0.6222,0.4673
0.4414,0.6542,0.8339,Vegetables,Crop Rotation,0.3447,0.1742
0.2362,0.5082,0.4585,Wheat,Crop Rotation,0.2939,0.266
0.545,0.9876,0.6915,Barley,Water Management,0.7028,0.406
0.503,0.7482,0.0967,Fruits,No Adaptation,0.8221,0.3258
0.1244,0.601,0.9195,Coffee,Water Management,0.4438,0.2551
0.8153,0.9363,0.1007,Vegetables,No Adaptation,0.4154,0.179
0.4169,0.8512,0.9743,Wheat,Water Management,0.347,0.1712
0.6074,0.3085,0.8994,Vegetables,Organic Farming,0.7134,0.5038
0.8786,0.73,0.3258,Corn,No Adaptation,0.3952,0.282
0.0025,0.332,0.0349,Vegetables,Organic Farming,0.1488,0.0301
0.8348,0.6142,0.5673,Fruits,Drought-resistant Crops,0.1781,0.1546
0.6154,0.2005,0.311,Barley,Crop Rotation,0.5902,0.6438
0.0648,0.5229,0.9277,Wheat,Crop Rotation,0.1871,0.0428
0.9249,0.1726,0.358,Sugarcane,Drought-resistant Crops,0.5391,0.3999
0.5753,0.7333,0.1413,Wheat,Drought-resistant Crops,0.612,0.2
0.2412,0.1538,0.4387,Rice,Water Management,0.2682,0.0599
0.2853,0.1867,0.5706,Fruits,Water Management,0.5001,0.5546
0.4915,0.0479,0.8194,Soybeans,Crop Rotation,0.2108,0.1975
0.3236,0.8262,0.2862,Soybeans,No Adaptation,0.0912,0.1433
0.6276,0.67,0.6854,Vegetables,Organic Farming,0.1173,0.1496
0.0941,0.5425,0.6927,Barley,Drought-resistant Crops,0.2898,0.1159
0.9434,0.062,0.3264,Rice,Water Management,0.6931,0.255
0.7272,0.0896,0.9812,Soybeans,No Adaptation,0.5816,0.4116
0.8626,0.7503,0.843,Coffee,Water Management,0.152,0.0324
0.6562,0.4102,0.095,Rice,Water Management,0.4925,0.3629
0.9802,0.9758,0.9004,Cotton,Organic Farming,0.4753,0.4868
0.4024,0.374,0.7385,Vegetables,Drought-resistant Crops,0.678,0.6682
0.3514,0.0016,0.1241,Sugarcane,No Adaptation,0.3121,0.3785
0.2272,0.2185,0.3211,Vegetables,No Adaptation,0.154,0.0982
0.2538,0.2373,0.8871,Cotton,No Adaptation,0.2675,0.1396
0.3606,0.012,0.2669,Rice,Drought-resistant Crops,0.3891,0.0976
0.9597,0.4176,0.3562,Coffee,No Adaptation,0.2857,0.34
0.2055,0.6833,0.1245,Sugarcane,No Adaptation,0.1297,0.0549
0.5716,0.9267,0.574,Barley,Drought-resistant Crops,0.302,0.2171
0.233,0.643,0.1525,Vegetables,Drought-resistant Crops,0.2592,0.0635
0.9815,0.0837,0.1524,Coffee,Water Management,0.3972,0.3978
0.7252,0.0751,0.4605,Rice,Organic Farming,0.5066,0.3765
0.9154,0.6613,0.4119,Soybeans,Crop Rotation,0.3695,0.4397
0.3363,0.0088,0.1631,Vegetables,No Adaptation,0.002,0.0153
0.4159,0.0366,0.9648,Fruits,Water Management,0.4438,0.2626
0.6211,0.5941,0.7679,Coffee,Crop Rotation,0.624,0.3642
0.6722,0.3006,0.873,Vegetables,Crop Rotation,0.5159,0.2128
0.5931,0.4025,0.1494,Rice,Water Management,0.8045,0.8537
0.5686,0.0784,0.1435,Fruits,Organic Farming,0.3932,0.1989
0.7583,0.7129,0.6321,Wheat,Crop Rotation,0.3486,0.123
0.8899,0.2175,0.9316,Sugarcane,No Adaptation,0.1398,0.1956
0.5468,0.9898,0.7339,Coffee,No Adaptation,0.6375,0.5682
0.3183,0.5399,0.1327,Barley,Water Management,0.0263,0.0565
0.9815,0.841,0.1198,Sugarcane,Organic Farming,0.5674,0.487
0.3486,0.5628,0.4585,Cotton,Drought-resistant Crops,0.329,0.399
0.9317,0.4566,0.2251,Barley,Crop Rotation,0.696,0.5735
0.3809,0.8507,1.0,Fruits,Crop Rotation,0.4821,0.1796
0.5523,0.9952,0.9067,Soybeans,Drought-resistant Crops,0.4844,0.5552
0.739,0.395,0.1093,Rice,No Adaptation,0.1488,0.0437
0.0966,0.3425,0.798,Soybeans,No Adaptation,0.1398,0.2103
0.7743,0.6809,0.1241,Soybeans,No Adaptation,0.2533,0.3193
0.4592,0.0166,0.571,Barley,Drought-resistant Crops,0.8593,0.9063
0.8824,0.2988,0.1957,Barley,Organic Farming,0.4573,0.1894
0.0053,0.6524,0.7319,Barley,Drought-resistant Crops,0.0633,0.1077
0.3123,0.0781,0.0539,Fruits,Organic Farming,0.1925,0.1644
0.4535,0.27,0.8492,Vegetables,Drought-resistant Crops,0.7863,0.6127
0.5215,0.2557,0.3828,Barley,Drought-resistant Crops,0.7296,0.7598
0.6584,0.7366,0.4189,Fruits,Water Management,0.1439,0.0367
0.0731,0.4771,0.6605,Vegetables,No Adaptation,0.3668,0.428
0.2037,0.4818,0.1314,Cotton,Drought-resistant Crops,0.4393,0.2723
0.8939,0.3341,0.7486,Coffee,Water Management,0.3283,0.3673
0.6542,0.9818,0.6679,Fruits,Water Management,0.533,0.5272
0.5578,0.5596,0.8608,Soybeans,Drought-resistant Crops,0.8025,0.4381
0.3478,0.5456,0.1806,Barley,Organic Farming,0.0669,0.0136
0.248,0.7011,0.8052,Sugarcane,Crop Rotation,0.2351,0.2922
0.9362,0.6429,0.3898,Sugarcane,No Adaptation,0.1781,0.1258
0.021,0.7793,0.5445,Rice,Organic Farming,0.5677,0.2647
0.3591,0.122,0.359,Rice,Crop Rotation,0.0446,0.0165
0.0235,0.884,0.6735,Vegetables,Drought-resistant Crops,0.229,0.136
0.2327,0.7674,0.4789,Sugarcane,Crop Rotation,0.2749,0.1584
0.9952,0.4836,0.2911,Soybeans,Organic Farming,0.3871,0.1386
0.9229,0.6991,0.0307,Corn,Drought-resistant Crops,0.6363,0.2981
0.0546,0.6014,0.5824,Wheat,Crop Rotation,0.4215,0.2617
0.4352,0.7366,0.6428,Soybeans,Organic Farming,0.2797,0.084
0.3699,0.163,0.1495,Cotton,Drought-resistant Crops,0.3587,0.0725
0.226,0.5992,0.4359,Cotton,No Adaptation,0.4731,0.2546
0.4642,0.0028,0.7862,Coffee,Crop Rotation,0.8633,0.7336
0.733,0.1614,0.124,Coffee,Drought-resistant Crops,0.6757,0.2346
0.6769,0.3009,0.4789,Wheat,No Adaptation,0.6217,0.2138
0.4017,0.314,0.1775,Wheat,Crop Rotation,0.7253,0.4937
0.5263,0.2941,0.368,Soybeans,Water Management,0.5715,0.216
0.8006,0.7117,0.335,Sugarcane,Organic Farming,0.1646,0.2088
0.4439,0.2554,0.442,Cotton,Water Management,0.2594,0.1473
0.7097,0.3291,0.13,Rice,No Adaptation,0.7478,0.4319
0.8466,0.5494,0.9484,Sugarcane,Water Management,0.5902,0.5753
0.4277,0.9729,0.9832,Soybeans,No Adaptation,0.7154,0.5032
0.745,0.2898,0.3397,Rice,No Adaptation,0.1338,0.1175
0.2888,0.1197,0.7254,Cotton,No Adaptation,0.1984,0.169
0.6359,0.3459,0.1412,Corn,Drought-resistant Crops,0.5978,0.1999
0.7462,0.4181,0.7407,Soybeans,Water Management,0.0608,0.0671
0.3471,0.759,0.2878,Corn,Drought-resistant Crops,0.3932,0.1104
0.8796,0.3558,0.8839,Wheat,Drought-resistant Crops,0.5391,0.5954
0.8501,0.5098,0.0357,Rice,No Adaptation,0.308,0.0849
0.9319,0.7624,0.0473,Coffee,Drought-resistant Crops,0.2087,0.1922
0.1544,0.6085,0.5393,Sugarcane,Crop Rotation,0.1581,0.1394
0.6429,0.541,0.5753,Coffee,Organic Farming,0.531,0.577
0.9925,0.4386,0.5627,Corn,Crop Rotation,0.7343,0.3961
0.4429,0.8165,0.9857,Coffee,Water Management,0.7377,0.5823
0.3684,0.3576,0.1247,Wheat,Organic Farming,0.46,0.1241
0.203,0.856,0.2263,Cotton,Drought-resistant Crops,0.2797,0.2736
0.9587,0.8839,0.9915,Vegetables,Water Management,0.075,0.0395
0.9322,0.0016,0.9704,Fruits,Water Management,0.1601,0.1099
0.3381,0.6595,0.7228,Wheat,Crop Rotation,0.2862,0.1735
0.6446,0.5357,0.4448,Corn,No Adaptation,0.4418,0.3195
0.8766,0.8775,0.0399,Corn,Crop Rotation,0.2434,0.1063
0.0305,0.5348,0.6257,Vegetables,Drought-resistant Crops,0.306,0.304
0.8293,0.7802,0.2723,Coffee,Drought-resistant Crops,0.1256,0.1728
0.6044,0.9879,0.6445,Fruits,Organic Farming,0.5406,0.2263
0.5551,0.721,0.2798,Vegetables,Water Management,0.8874,0.1938
0.6419,0.5801,0.868,Rice,No Adaptation,0.4618,0.3981
0.8574,0.2262,0.7614,Coffee,No Adaptation,0.2569,0.2778
0.5248,0.359,0.6505,Wheat,Crop Rotation,0.7073,0.6524
0.5676,0.4188,0.5123,Vegetables,Water Management,0.7377,0.7636
0.8163,0.1224,0.4484,Sugarcane,Drought-resistant Crops,0.2229,0.1479
0.6339,0.5989,0.8433,Sugarcane,Water Management,0.1155,0.0845
0.2828,0.5794,0.0882,Cotton,Drought-resistant Crops,0.4055,0.1619
0.7215,0.269,0.5499,Soybeans,Drought-resistant Crops,0.533,0.3353
0.4437,0.8464,0.0235,Cotton,Organic Farming,0.4145,0.4691
0.2715,0.2689,0.3603,Wheat,Water Management,0.4731,0.321
0.4952,0.1956,0.1293,Barley,No Adaptation,0.7118,0.7614
0.7397,0.3101,0.2281,Sugarcane,Crop Rotation,0.5066,0.5555
0.3086,0.3245,0.0918,Sugarcane,Crop Rotation,0.3688,0.2384
